id;street_address;postal_code;city;state_province
1;Industrial;connect Markets Chief;Monaside;Awesome
2;Aruba;software scale interactive;McGlynnborough;mission-critical Faroe Islands Plastic
3;Car Industrial deliverables;orange Books;Dooleychester;application quantify Unbranded Plastic Tuna
4;Internal;Investment Account archive Fantastic Plastic Chicken;New Monte;withdrawal COM
5;embrace Developer;synthesize Idaho compress;North Joyce;partnerships Grocery Intelligent
6;Dynamic;knowledge base Buckinghamshire;Connellyberg;relationships override
7;Brand;neutral Salad;Muellerfort;deposit
8;Squares mint green e-business;Ghana back-end National;Port Bernice;Profit-focused
9;Jewelery cutting-edge;Games;Kadenbury;magenta Concrete
10;User-centric Gloves;Mauritania;Guidoborough;Engineer
